iyear,longitude,latitude,radius
1970,-63.62,-38.42,2.609437912
1970,-51.93,-14.24,1.693147181
1970,-106.35,56.13,1
1970,-0.19,51.52,1
1970,40.49,9.15,1
1970,21.82,39.07,1.693147181
1970,-90.23,15.78,1.693147181
1970,-8.24,53.41,1
1970,36.24,30.59,1
1970,5.29,52.13,1
1970,69.35,30.38,2.386294361
1970,-58.44,-23.44,1
1970,121.77,12.88,4.713572067
1970,8.23,46.82,4.850147602
1970,-3.44,55.38,3.995732274
1970,-95.71,37.09,4.496507561
1970,-55.77,-32.52,2.098612289
1970,10.45,51.17,3.079441542
1971,-63.62,-38.42,2.609437912
1971,104.55,11.33,1.693147181
1971,30.8,26.82,1
1971,53.69,32.43,2.386294361
1971,-8.24,53.41,1
1971,34.85,31.05,1
1971,18.64,60.13,1
1971,120.96,23.7,4.218875825
1971,35.24,38.96,1
1971,-3.44,55.38,5.700480366
1971,-95.71,37.09,3.995732274
1971,-55.77,-32.52,1
1971,27.85,-13.13,1
1972,-63.62,-38.42,2.609437912
1972,133.78,-25.27,1
1972,14.55,47.52,2.386294361
1972,104.55,11.33,1
1972,-106.35,56.13,1
1972,-74.3,4.57,1
1972,15.47,49.82,4.258096538
1972,2.21,46.23,1
1972,53.69,32.43,1
1972,-8.24,53.41,2.791759469
1972,34.85,31.05,4.258096538
1972,12.57,41.87,1
1972,36.24,30.59,1.693147181
1972,121.77,12.88,1.693147181
1972,-3.75,40.46,1.693147181
1972,35.24,38.96,2.098612289
1972,-3.44,55.38,6.908082938
1972,-95.71,37.09,3.302585093
1972,10.45,51.17,4.135494216
1973,-63.62,-38.42,3.772588722
1973,33.43,35.13,1
1973,2.21,46.23,2.609437912
1973,21.82,39.07,2.609437912
1973,53.69,32.43,1
1973,-8.24,53.41,2.386294361
1973,34.85,31.05,1.693147181
1973,12.57,41.87,5.127134385
1973,35.86,33.85,2.386294361
1973,-102.55,23.63,1
1973,5.29,52.13,1
1973,-3.75,40.46,2.791759469
1973,30.22,12.86,2.098612289
1973,-3.44,55.38,6.347107531
1973,-95.71,37.09,4.80666249
1973,10.45,51.17,1
1973,121.02,14.48,1
1973,27.85,-13.13,1.693147181
1974,-63.62,-38.42,4.044522438
1974,24.68,-22.33,1
1974,10.45,51.17,1
1974,40.49,9.15,2.098612289
1974,2.21,46.23,2.098612289
1974,21.82,39.07,5.521788577
1974,53.69,32.43,1
1974,-8.24,53.41,4.526360525
1974,34.85,31.05,5.356708827
1974,12.57,41.87,4.135494216
1974,-102.55,23.63,1.693147181
1974,5.29,52.13,1
1974,121.77,12.88,2.098612289
1974,-3.75,40.46,3.944438979
1974,39,34.8,1
1974,100.99,15.87,1.693147181
1974,53.85,23.42,1
1974,-3.44,55.38,6.459585514
1974,-95.71,37.09,3.772588722
1974,10.45,51.17,1
1975,-63.62,-38.42,5.812184355
1975,14.55,47.52,2.386294361
1975,-74.3,4.57,2.945910149
1975,-88.9,13.79,1.693147181
1975,2.21,46.23,2.098612289
1975,21.82,39.07,1
1975,-90.23,15.78,4.135494216
1975,78.96,20.59,2.386294361
1975,53.69,32.43,3.079441542
1975,-8.24,53.41,2.945910149
1975,34.85,31.05,4.17805383
1975,37.91,-0.02,4.295836866
1975,35.86,33.85,4.33220451
1975,-102.55,23.63,4.465735903
1975,18.49,-22.96,1
1975,5.29,52.13,2.386294361
1975,-85.21,12.87,3.397895273
1975,69.35,30.38,1
1975,121.77,12.88,1
1975,-3.75,40.46,4.433987204
1975,80.77,7.87,1
1975,18.64,60.13,2.098612289
1975,-3.44,55.38,6.501258211
1975,-95.71,37.09,4.17805383
1975,10.45,51.17,1
1975,27.85,-13.13,1
1976,-63.62,-38.42,5.804021045
1976,-59.54,13.19,5.290459441
1976,-74.3,4.57,3.302585093
1976,-78.18,-1.83,1
1976,-88.9,13.79,2.098612289
1976,2.21,46.23,2.945910149
1976,21.82,39.07,3.63905733
1976,-90.23,15.78,3.079441542
1976,53.69,32.43,2.609437912
1976,43.68,33.22,3.48490665
1976,-8.24,53.41,2.609437912
1976,34.85,31.05,1
1976,12.57,41.87,3.197224577
1976,138.25,36.2,1.693147181
1976,36.24,30.59,3.197224577
1976,35.86,33.85,2.386294361
1976,-102.55,23.63,4.258096538
1976,18.49,-22.96,2.098612289
1976,8.68,9.08,2.098612289
1976,69.35,30.38,1
1976,-58.44,-23.44,1
1976,121.77,12.88,4.850147602
1976,-8.22,39.4,2.098612289
1976,22.94,-30.56,1.693147181
1976,-3.75,40.46,3.833213344
1976,39,34.8,2.609437912
1976,35.24,38.96,2.945910149
1976,-3.44,55.38,6.575949103
1976,-95.71,37.09,2.386294361
1976,10.45,51.17,2.386294361
1977,-63.62,-38.42,2.945910149
1977,14.55,47.52,1
1977,-74.3,4.57,4.63758616
1977,42.59,11.83,1
1977,-78.18,-1.83,1
1977,30.8,26.82,1
1977,-88.9,13.79,2.386294361
1977,40.49,9.15,2.609437912
1977,2.21,46.23,2.098612289
1977,21.82,39.07,1
1977,-90.23,15.78,2.791759469
1977,113.92,-0.79,1
1977,53.69,32.43,1.693147181
1977,-8.24,53.41,1.693147181
1977,34.85,31.05,2.609437912
1977,12.57,41.87,4.218875825
1977,35.86,33.85,2.098612289
1977,101.98,4.21,5.605170186
1977,14.38,35.94,1
1977,-102.55,23.63,3.397895273
1977,5.29,52.13,3.197224577
1977,-85.21,12.87,4.258096538
1977,22.94,-30.56,2.609437912
1977,-3.75,40.46,4.784189634
1977,39,34.8,1
1977,100.99,15.87,1
1977,35.24,38.96,4.36729583
1977,53.85,23.42,1
1977,-3.44,55.38,5.634728988
1977,-95.71,37.09,2.609437912
1977,-66.59,6.42,1
1977,10.45,51.17,2.791759469
1977,121.02,14.48,1
1977,21.76,-4.04,1
1977,27.85,-13.13,1
1978,-63.62,-38.42,3.564949357
1978,133.78,-25.27,1.693147181
1978,4.47,50.5,1
1978,-51.93,-14.24,1
1978,104.55,11.33,1
1978,-74.3,4.57,5.262679877
1978,33.43,35.13,3.772588722
1978,-0.19,51.52,2.098612289
1978,-78.18,-1.83,1.693147181
1978,30.8,26.82,1.693147181
1978,-88.9,13.79,4.496507561
1978,40.49,9.15,4.218875825
1978,2.21,46.23,4.044522438
1978,-90.23,15.78,4.555348061
1978,-58.93,4.86,2.609437912
1978,53.69,32.43,7.102558595
1978,-8.24,53.41,1
1978,34.85,31.05,4.951243719
1978,12.57,41.87,4.258096538
1978,138.25,36.2,2.386294361
1978,37.91,-0.02,2.386294361
1978,47.48,29.31,1
1978,35.86,33.85,5.672828834
1978,-102.55,23.63,2.945910149
1978,-7.09,31.79,3.302585093
1978,35.53,-18.67,1.693147181
1978,18.49,-22.96,1.693147181
1978,5.29,52.13,1
1978,-85.21,12.87,5.532599493
1978,69.35,30.38,2.609437912
1978,121.77,12.88,5.852030264
1978,22.94,-30.56,2.791759469
1978,-3.75,40.46,5.430816799
1978,100.99,15.87,4.36729583
1978,35.24,38.96,4.688879454
1978,53.85,23.42,2.609437912
1978,-3.44,55.38,5.394449155
1978,-95.71,37.09,3.079441542
1978,-66.59,6.42,1
1979,67.71,33.94,4.970291914
1979,17.87,-11.2,3.944438979
1979,-63.62,-38.42,3.397895273
1979,4.47,50.5,1
1979,-51.93,-14.24,2.386294361
1979,-71.54,-35.68,2.791759469
1979,-74.3,4.57,6.049856007
1979,-83.75,9.75,2.098612289
1979,33.43,35.13,1.693147181
1979,42.59,11.83,2.386294361
1979,-0.19,51.52,1
1979,30.8,26.82,1
1979,-88.9,13.79,6.655991811
1979,40.49,9.15,5.615120517
1979,2.21,46.23,3.397895273
1979,11.61,-0.8,1.693147181
1979,21.82,39.07,1
1979,-90.23,15.78,4.970291914
1979,-58.93,4.86,1
1979,-86.24,15.2,1
1979,78.96,20.59,4.433987204
1979,53.69,32.43,5.043051268
1979,43.68,33.22,1
1979,-8.24,53.41,3.197224577
1979,34.85,31.05,5.143134726
1979,12.57,41.87,4.17805383
1979,-77.3,18.11,2.386294361
1979,138.25,36.2,2.609437912
1979,35.86,33.85,4.496507561
1979,101.98,4.21,2.609437912
1979,-102.55,23.63,2.609437912
1979,35.53,-18.67,4.526360525
1979,18.49,-22.96,4.465735903
1979,5.29,52.13,2.098612289
1979,-85.21,12.87,6.231108617
1979,69.35,30.38,2.791759469
1979,-80.78,8.54,1
1979,-75.02,-9.19,2.609437912
1979,121.77,12.88,5.672828834
1979,-8.22,39.4,2.098612289
1979,45.08,23.89,2.609437912
1979,22.94,-30.56,3.079441542
1979,-3.75,40.46,5.718498871
1979,80.77,7.87,1.693147181
1979,18.64,60.13,1
1979,8.23,46.82,1
1979,39,34.8,5.382026635
1979,34.89,-6.37,1
1979,100.99,15.87,5.127134385
1979,35.24,38.96,5.812184355
1979,32.29,1.37,3.564949357
1979,-3.44,55.38,5.890349128
1979,-95.71,37.09,3.890371758
1980,133.78,-25.27,1.693147181
1980,90.36,23.68,2.791759469
1980,4.47,50.5,1.693147181
1980,-63.59,-16.29,3.397895273
1980,-51.93,-14.24,3.944438979
1980,-71.54,-35.68,2.791759469
1980,-74.3,4.57,6.068904202
1980,33.43,35.13,2.098612289
1980,-0.19,51.52,1
1980,-78.18,-1.83,1.693147181
1980,30.8,26.82,1
1980,-88.9,13.79,8.776115477
1980,2.21,46.23,3.995732274
1980,21.82,39.07,2.609437912
1980,-61.68,12.12,3.197224577
1980,-90.23,15.78,7.269096284
1980,-9.7,9.95,1
1980,-58.93,4.86,1
1980,-86.24,15.2,2.791759469
1980,78.96,20.59,3.833213344
1980,53.69,32.43,5.007333185
1980,43.68,33.22,3.079441542
1980,-8.24,53.41,2.098612289
1980,34.85,31.05,3.63905733
1980,12.57,41.87,5.8978398
1980,-77.3,18.11,3.397895273
1980,36.24,30.59,1
1980,37.91,-0.02,3.708050201
1980,35.86,33.85,5.49980967
1980,-102.55,23.63,2.098612289
1980,18.49,-22.96,1.693147181
1980,-85.21,12.87,4.610917913
1980,69.35,30.38,3.833213344
1980,-58.44,-23.44,2.098612289
1980,-75.02,-9.19,1.693147181
1980,121.77,12.88,6.093750201
1980,-8.22,39.4,2.098612289
1980,22.94,-30.56,4.258096538
1980,-3.75,40.46,5.753590191
1980,39,34.8,5.48863637
1980,100.99,15.87,5.317488114
1980,9.54,33.89,4.713572067
1980,35.24,38.96,5.709530201
1980,53.85,23.42,1
1980,-3.44,55.38,5.356708827
1980,-95.71,37.09,3.708050201
1980,-66.59,6.42,2.098612289
1980,10.45,51.17,3.833213344
1980,29.15,-19.02,3.564949357
1981,17.87,-11.2,2.098612289
1981,133.78,-25.27,1
1981,14.55,47.52,2.098612289
1981,90.36,23.68,2.791759469
1981,4.47,50.5,2.791759469
1981,-63.59,-16.29,1
1981,-51.93,-14.24,1.693147181
1981,20.94,6.61,2.098612289
1981,-71.54,-35.68,3.944438979
1981,-74.3,4.57,6.899897354
1981,-83.75,9.75,2.386294361
1981,-78.18,-1.83,1.693147181
1981,30.8,26.82,5.204692619
1981,-88.9,13.79,8.363913501
1981,2.21,46.23,3.079441542
1981,21.82,39.07,2.098612289
1981,-90.23,15.78,8.230563153
1981,-58.93,4.86,1
1981,-86.24,15.2,2.945910149
1981,78.96,20.59,4.17805383
1981,113.92,-0.79,2.386294361
1981,53.69,32.43,6.411646052
1981,-8.24,53.41,1.693147181
1981,34.85,31.05,2.098612289
1981,12.57,41.87,4.17805383
1981,-77.3,18.11,2.609437912
1981,47.48,29.31,1.693147181
1981,35.86,33.85,6.575949103
1981,28.23,-29.61,3.302585093
1981,35.53,-18.67,2.791759469
1981,-85.21,12.87,6.147494477
1981,69.35,30.38,2.386294361
1981,-80.78,8.54,1
1981,-75.02,-9.19,3.302585093
1981,121.77,12.88,6.170483995
1981,-8.22,39.4,1.693147181
1981,22.94,-30.56,3.079441542
1981,-3.75,40.46,4.663561646
1981,80.77,7.87,2.098612289
1981,30.22,12.86,1.693147181
1981,8.23,46.82,1.693147181
1981,39,34.8,6.257495372
1981,100.99,15.87,4.044522438
1981,35.24,38.96,3.397895273
1981,32.29,1.37,5.043051268
1981,53.85,23.42,1.693147181
1981,-3.44,55.38,5.454347296
1981,-95.71,37.09,3.079441542
1981,-66.59,6.42,1.693147181
1981,10.45,51.17,1.693147181
1981,29.15,-19.02,3.564949357
1982,17.87,-11.2,1.693147181
1982,-63.62,-38.42,1
1982,-51.93,-14.24,4.295836866
1982,25.49,42.73,1.693147181
1982,-106.35,56.13,1
1982,-71.54,-35.68,1.693147181
1982,-74.3,4.57,6.908082938
1982,-83.75,9.75,2.386294361
1982,-0.19,51.52,2.609437912
1982,-78.18,-1.83,1
1982,-88.9,13.79,8.34536484
1982,2.21,46.23,3.833213344
1982,21.82,39.07,1.693147181
1982,-90.23,15.78,8.35372233
1982,-86.24,15.2,4.17805383
1982,78.96,20.59,5.158883083
1982,53.69,32.43,5.934473933
1982,43.68,33.22,5.564348191
1982,-8.24,53.41,1.693147181
1982,12.57,41.87,3.48490665
1982,35.86,33.85,6.455321115
1982,-102.55,23.63,1
1982,35.53,-18.67,3.890371758
1982,18.49,-22.96,1.693147181
1982,-85.21,12.87,6.537334267
1982,69.35,30.38,2.098612289
1982,15.83,-0.23,3.708050201
1982,-75.02,-9.19,6.493061443
1982,121.77,12.88,5.934473933
1982,-8.22,39.4,2.098612289
1982,51.18,25.35,1
1982,22.94,-30.56,3.197224577
1982,-3.75,40.46,4.737669618
1982,80.77,7.87,2.945910149
1982,39,34.8,5.584967479
1982,100.99,15.87,1
1982,35.24,38.96,3.197224577
1982,-3.44,55.38,5.553876892
1982,-95.71,37.09,3.302585093
1982,-66.59,6.42,4.401197382
1982,10.45,51.17,2.609437912
1982,29.15,-19.02,4.091042453
1983,17.87,-11.2,6.641907071
1983,-63.62,-38.42,1
1983,4.47,50.5,1.693147181
1983,-71.54,-35.68,3.708050201
1983,-74.3,4.57,7.079933195
1983,-88.9,13.79,8.418780883
1983,2.21,46.23,3.995732274
1983,-53.13,3.93,1
1983,21.82,39.07,2.386294361
1983,-90.23,15.78,7.272877007
1983,-72.29,18.97,2.609437912
1983,-86.24,15.2,5.317488114
1983,78.96,20.59,5.077537444
1983,43.68,33.22,1
1983,-8.24,53.41,2.609437912
1983,34.85,31.05,3.772588722
1983,12.57,41.87,1.693147181
1983,138.25,36.2,1.693147181
1983,47.48,29.31,1
1983,35.86,33.85,7.421622268
1983,28.23,-29.61,4.401197382
1983,35.53,-18.67,2.609437912
1983,18.49,-22.96,2.386294361
1983,-85.21,12.87,9.094683649
1983,8.68,9.08,1
1983,69.35,30.38,3.302585093
1983,-75.02,-9.19,8.505492275
1983,121.77,12.88,5.615120517
1983,-8.22,39.4,3.079441542
1983,22.94,-30.56,4.33220451
1983,-3.75,40.46,4.737669618
1983,80.77,7.87,2.791759469
1983,18.64,60.13,1
1983,39,34.8,1
1983,35.24,38.96,1.693147181
1983,32.29,1.37,5.795790546
1983,53.85,23.42,5.709530201
1983,-3.44,55.38,5.343805422
1983,-95.71,37.09,3.079441542
1983,-66.59,6.42,2.945910149
1983,10.45,51.17,1.693147181
1983,121.02,14.48,1.693147181
1983,29.15,-19.02,3.397895273
1984,17.87,-11.2,6.187385806
1984,-63.62,-38.42,1
1984,14.55,47.52,1.693147181
1984,90.36,23.68,1
1984,-63.59,-16.29,1
1984,-71.54,-35.68,4.610917913
1984,-74.3,4.57,7.184148891
1984,33.43,35.13,2.791759469
1984,-78.18,-1.83,1
1984,-88.9,13.79,8.181591945
1984,40.49,9.15,6.298317367
1984,2.21,46.23,3.708050201
1984,21.82,39.07,2.609437912
1984,-90.23,15.78,6.141663557
1984,-86.24,15.2,2.609437912
1984,78.96,20.59,6.272999559
1984,113.92,-0.79,1.693147181
1984,53.69,32.43,4.36729583
1984,-8.24,53.41,1
1984,34.85,31.05,2.945910149
1984,12.57,41.87,4.135494216
1984,36.24,30.59,1
1984,47.48,29.31,2.386294361
1984,35.86,33.85,5.110873864
1984,28.23,-29.61,1
1984,17.23,26.34,3.708050201
1984,-102.55,23.63,3.564949357
1984,35.53,-18.67,5.025351691
1984,18.49,-22.96,4.258096538
1984,174.89,-40.9,1
1984,-85.21,12.87,9.193400232
1984,69.35,30.38,3.48490665
1984,-58.44,-23.44,1
1984,-75.02,-9.19,8.810758117
1984,121.77,12.88,6.568344504
1984,-8.22,39.4,2.098612289
1984,24.97,45.94,1
1984,22.94,-30.56,4.044522438
1984,-3.75,40.46,4.931825633
1984,80.77,7.87,7.184148891
1984,30.22,12.86,6.720311777
1984,31.47,-26.52,1
1984,35.24,38.96,4.295836866
1984,32.29,1.37,6.459585514
1984,-3.44,55.38,5.234106505
1984,-95.71,37.09,2.098612289
1984,-66.59,6.42,1.693147181
1984,121.02,14.48,1.693147181
1984,21.76,-4.04,1.693147181
1984,29.15,-19.02,2.386294361
1985,17.87,-11.2,2.791759469
1985,-63.62,-38.42,1.693147181
1985,14.55,47.52,2.386294361
1985,4.47,50.5,3.302585093
1985,-106.35,56.13,6.802118375
1985,-71.54,-35.68,4.401197382
1985,-74.3,4.57,7.840546529
1985,33.43,35.13,2.098612289
1985,9.5,56.26,1
1985,-78.18,-1.83,2.386294361
1985,30.8,26.82,1.693147181
1985,-88.9,13.79,7.920671504
1985,2.21,46.23,3.833213344
1985,21.82,39.07,5.158883083
1985,-90.23,15.78,5.919980926
1985,-86.24,15.2,2.945910149
1985,78.96,20.59,4.931825633
1985,113.92,-0.79,2.945910149
1985,53.69,32.43,4.091042453
1985,-8.24,53.41,1.693147181
1985,12.57,41.87,3.944438979
1985,138.25,36.2,1.693147181
1985,47.48,29.31,3.397895273
1985,35.86,33.85,7.486160789
1985,35.53,-18.67,3.079441542
1985,18.49,-22.96,5.304065093
1985,84.12,28.39,2.791759469
1985,-85.21,12.87,8.362010551
1985,8.08,17.61,2.098612289
1985,-75.02,-9.19,7.591673732
1985,121.77,12.88,7.11368218
1985,-8.22,39.4,1
1985,24.97,45.94,1.693147181
1985,45.08,23.89,1
1985,22.94,-30.56,5.406719247
1985,-3.75,40.46,5.204692619
1985,80.77,7.87,7.415096959
1985,39,34.8,4.401197382
1985,0.82,8.62,1
1985,35.24,38.96,1
1985,32.29,1.37,4.465735903
1985,-3.44,55.38,5.158883083
1985,-95.71,37.09,2.098612289
1985,10.45,51.17,3.197224577
1985,29.15,-19.02,2.609437912
1986,17.87,-11.2,5.779123493
1986,-63.62,-38.42,1.693147181
1986,133.78,-25.27,1
1986,90.36,23.68,4.988984047
1986,-63.59,-16.29,1
1986,-51.93,-14.24,3.63905733
1986,-71.54,-35.68,4.091042453
1986,-74.3,4.57,7.647688374
1986,33.43,35.13,1
1986,10.45,51.17,1
1986,-78.18,-1.83,3.564949357
1986,30.8,26.82,3.48490665
1986,-88.9,13.79,6.680172609
1986,40.49,9.15,4.688879454
1986,2.21,46.23,4.218875825
1986,21.82,39.07,2.791759469
1986,-90.23,15.78,4.988984047
1986,-86.24,15.2,3.302585093
1986,78.96,20.59,6.828945618
1986,53.69,32.43,4.663561646
1986,34.85,31.05,3.079441542
1986,12.57,41.87,1
1986,-77.3,18.11,2.098612289
1986,138.25,36.2,2.098612289
1986,35.86,33.85,6.509388337
1986,101.98,4.21,3.995732274
1986,14.38,35.94,1
1986,-7.09,31.79,1.693147181
1986,35.53,-18.67,7.152732695
1986,18.49,-22.96,2.609437912
1986,-85.21,12.87,6.978885765
1986,69.35,30.38,5.094344562
1986,-75.02,-9.19,7.240275845
1986,121.77,12.88,6.774551546
1986,-8.22,39.4,1
1986,45.08,23.89,5.127134385
1986,22.94,-30.56,6.030437921
1986,-3.75,40.46,5.043051268
1986,80.77,7.87,7.536691598
1986,30.22,12.86,3.079441542
1986,-56.03,3.92,1.693147181
1986,18.64,60.13,1
1986,39,34.8,3.079441542
1986,35.24,38.96,4.258096538
1986,32.29,1.37,1
1986,-3.44,55.38,5.143134726
1986,-95.71,37.09,1
1986,-66.59,6.42,3.564949357
1986,10.45,51.17,3.197224577
1986,27.85,-13.13,1.693147181
1986,29.15,-19.02,1
1987,17.87,-11.2,2.609437912
1987,-63.62,-38.42,2.098612289
1987,90.36,23.68,4.258096538
1987,4.47,50.5,1
1987,-63.59,-16.29,1
1987,24.68,-22.33,2.098612289
1987,-71.54,-35.68,3.197224577
1987,-74.3,4.57,7.484635236
1987,33.43,35.13,1
1987,42.59,11.83,3.302585093
1987,-0.19,51.52,2.945910149
1987,30.8,26.82,1
1987,-88.9,13.79,7.042632834
1987,2.21,46.23,2.609437912
1987,21.82,39.07,1.693147181
1987,-90.23,15.78,6.351858133
1987,-72.29,18.97,2.386294361
1987,-86.24,15.2,4.044522438
1987,78.96,20.59,7.226536669
1987,-8.24,53.41,2.791759469
1987,34.85,31.05,3.397895273
1987,12.57,41.87,2.098612289
1987,138.25,36.2,1
1987,47.48,29.31,1
1987,35.86,33.85,6.18178355
1987,-7.09,31.79,6.298317367
1987,35.53,-18.67,7.148468296
1987,18.49,-22.96,1.693147181
1987,-85.21,12.87,7.308098442
1987,8.47,60.47,1
1987,69.35,30.38,6.209486153
1987,-80.78,8.54,1
1987,-75.02,-9.19,7.650279049
